Step,Actual Price,Next Price,Model Prediction,Actual Label,Result
1,24303.3,24299.3,Flat,Down,Wrong!
2,24299.3,24300.5,Flat,Down,Wrong!
3,24300.5,24278.55,Flat,Down,Wrong!
4,24278.55,24215.55,Flat,Down,Wrong!
5,24215.55,24225.8,Flat,Up,Wrong!
6,24225.8,24202.3,Flat,Down,Wrong!
7,24202.3,24185.45,Flat,Up,Wrong!
8,24185.45,24164.75,Flat,Up,Wrong!
9,24164.75,24123.6,Flat,Down,Wrong!
10,24123.6,24136.0,Flat,Up,Wrong!
11,24136.0,24093.1,Flat,Down,Wrong!
12,24093.1,24100.4,Flat,Down,Wrong!
13,24100.4,24119.4,Flat,Down,Wrong!
14,24119.4,24111.95,Flat,Down,Wrong!
15,24111.95,24126.7,Flat,Down,Wrong!
16,24126.7,24120.65,Flat,Up,Wrong!
17,24120.65,24114.85,Flat,Down,Wrong!
18,24114.85,24107.1,Flat,Up,Wrong!
19,24107.1,24076.45,Flat,Down,Wrong!
20,24076.45,24072.15,Flat,Up,Wrong!
21,24072.15,24087.95,Flat,Down,Wrong!
22,24087.95,24075.45,Flat,Down,Wrong!
23,24075.45,24093.05,Flat,Up,Wrong!
24,24093.05,24085.05,Flat,Up,Wrong!
25,24085.05,24088.5,Flat,Up,Wrong!
26,24088.5,24086.2,Flat,Flat,Correct!
27,24086.2,24079.6,Flat,Up,Wrong!
28,24079.6,24081.55,Flat,Up,Wrong!
29,24081.55,24091.1,Flat,Down,Wrong!
30,24091.1,24113.95,Flat,Down,Wrong!
31,24113.95,24115.0,Flat,Down,Wrong!
32,24115.0,24120.25,Flat,Up,Wrong!
33,24120.25,24133.1,Flat,Up,Wrong!
34,24133.1,24121.5,Flat,Down,Wrong!
35,24121.5,24102.65,Flat,Down,Wrong!
36,24102.65,24096.15,Flat,Up,Wrong!
37,24096.15,24102.5,Flat,Down,Wrong!
38,24102.5,24104.95,Flat,Down,Wrong!
39,24104.95,24098.15,Flat,Down,Wrong!
40,24098.15,24089.6,Flat,Up,Wrong!
41,24089.6,24102.6,Flat,Up,Wrong!
42,24102.6,24092.65,Flat,Down,Wrong!
43,24092.65,24086.45,Flat,Down,Wrong!
44,24086.45,24083.7,Flat,Up,Wrong!
45,24083.7,24087.9,Flat,Down,Wrong!
46,24087.9,24089.9,Flat,Flat,Correct!
47,24089.9,24075.45,Flat,Up,Wrong!
48,24075.45,24050.65,Flat,Up,Wrong!
49,24050.65,24064.85,Flat,Down,Wrong!
50,24064.85,24057.6,Flat,Down,Wrong!
51,24057.6,24057.55,Flat,Up,Wrong!
52,24057.55,24061.9,Flat,Up,Wrong!
53,24061.9,24067.55,Flat,Down,Wrong!
54,24067.55,24047.7,Flat,Down,Wrong!
55,24047.7,24045.2,Flat,Up,Wrong!
56,24045.2,24053.95,Flat,Down,Wrong!
